company_name,emails,phones,websites,founded_year,governance,employees,business_size,profile_url
Better Packaging Co.,,02035196711,https://; http://intelligence.ethicalfashionforum.com; http://bcorporation.net/directory/the-better-packaging-co; https://unreasonablegroup.com/c/?id=3afac337-1b3f-4120-895a-dd79689bec61; http://www.betterpackaging.com; https://the.ethicalfashionforum.com/; https://www.pinterest.com/betterpackagingco/_shop/; https://www.betterpackaging.com/blogs/company/your-manufacturers-can-now-package-better-too; www.betterpackaging.com,,Private Company,10-49,,https://www.commonobjective.co/better-packaging-co
Mantis World,,+442072248991,http://www.mantisworld.com/; https://fairwear.org/brands/mantis-world; http://intelligence.ethicalfashionforum.com; https://www.mantisworld.com/careers/; http://www.mantisworld.com/certifications/; https://the.ethicalfashionforum.com/; https://textileexchange.org/members/; https://unreasonablegroup.com/c/?id=3afac337-1b3f-4120-895a-dd79689bec61; www.mantisworld.com/,2000,Private Company,10-49,Catalyst ($2m - $10m),https://www.commonobjective.co/mantis-world
Dibella India,,+917795049990,https://www.dibellaindia.com; http://intelligence.ethicalfashionforum.com; http://www.global-standard.org/public-database/search/database/search_result/7383.html; https://the.ethicalfashionforum.com/; https://unreasonablegroup.com/c/?id=3afac337-1b3f-4120-895a-dd79689bec61; www.dibellaindia.com; http://www.dibellaindia.com,2013,Private Company,250-999,Medium ($10 - $50m),https://www.commonobjective.co/dibella-india
