company_name,location,emails,website,phone,description,profile_url,address
Better Packaging Co.,"Auckland, New Zealand",,https://the.ethicalfashionforum.com/,,"Better Packaging Co. designs revolutionary, customized packaging solutions for the new ‘eco’nomy...",https://www.commonobjective.co/better-packaging-co,
Mantis World,"London, United Kingdom",,https://the.ethicalfashionforum.com/,,"Well made, sustainable basics - for consumers and white labelling",https://www.commonobjective.co/mantis-world,
Dibella India,"Bangalore, India",,https://the.ethicalfashionforum.com/,,"An apparel design and manufacturing company, specialized in ethical and sustainable textiles",https://www.commonobjective.co/dibella-india,
